ds,y,lag_1,lag_2,lag_3,lag_6,lag_12,rolling_std_3,rolling_std_6,diff_1,diff_12
1953-02-01,196,196.0,194.0,172.0,242.0,180.0,13.316656236958766,23.49184255580365,0.0,16.0
1953-03-01,236,196.0,196.0,194.0,209.0,193.0,1.1547005383789788,12.000000000000068,40.0,43.0
1953-04-01,235,236.0,196.0,196.0,191.0,181.0,23.09401076758501,20.935615586841504,-1.0,54.0
1953-05-01,229,235.0,236.0,196.0,172.0,183.0,22.81081614790081,25.42767521160097,-6.0,46.0
1953-06-01,243,229.0,235.0,236.0,194.0,218.0,3.785938897200021,20.96346027416908,14.0,25.0
1953-07-01,264,243.0,229.0,235.0,196.0,230.0,7.0237691685684105,21.002380817421557,21.0,34.0
1953-08-01,272,264.0,243.0,229.0,196.0,242.0,17.616280348965045,22.15776763725672,8.0,30.0
1953-09-01,237,272.0,264.0,243.0,236.0,209.0,14.977761292440595,17.4212513901841,-35.0,28.0
1953-10-01,211,237.0,272.0,264.0,235.0,191.0,18.33939293797185,17.305105219751137,-26.0,20.0
1953-11-01,180,211.0,237.0,272.0,229.0,172.0,30.61045573002793,22.527020812052776,-31.0,8.0
1953-12-01,201,180.0,211.0,237.0,243.0,194.0,28.53652630109937,34.28556547586746,21.0,7.0
1954-01-01,204,201.0,180.0,211.0,264.0,196.0,15.821925715074558,36.4238932570366,3.0,8.0
1954-02-01,188,204.0,201.0,180.0,272.0,196.0,13.076696830622195,32.414502926930695,-16.0,-8.0
1954-03-01,235,188.0,204.0,201.0,237.0,236.0,8.504900548115643,19.887181801351407,47.0,-1.0
1954-04-01,227,235.0,188.0,204.0,211.0,235.0,23.89560629069711,19.218914294690777,-8.0,-8.0
1954-05-01,234,227.0,235.0,188.0,180.0,229.0,25.146238950056443,21.49806192815224,7.0,5.0
1954-06-01,264,234.0,227.0,235.0,201.0,243.0,4.358898943540727,19.752636954762927,30.0,21.0
1954-07-01,302,264.0,234.0,227.0,204.0,264.0,19.655363983740735,26.51540432779902,38.0,38.0
1954-08-01,293,302.0,264.0,234.0,188.0,272.0,34.07834111768544,38.30752754572733,-9.0,21.0
1954-09-01,259,293.0,302.0,264.0,235.0,237.0,19.857828011475213,32.4186160510694,-34.0,22.0
1954-10-01,229,259.0,293.0,302.0,227.0,211.0,22.678918257565336,30.24841593648589,-30.0,18.0
1954-11-01,203,229.0,259.0,293.0,234.0,180.0,32.020826556060825,29.77750829065432,-26.0,23.0
1954-12-01,229,203.0,229.0,259.0,264.0,201.0,28.023799409311515,37.58545818087967,26.0,28.0
1955-01-01,242,229.0,203.0,229.0,302.0,204.0,15.011106998930083,39.21096785339517,13.0,38.0
1955-02-01,233,242.0,229.0,203.0,293.0,188.0,19.85782801147517,30.813957876261068,-9.0,45.0
1955-03-01,267,233.0,242.0,229.0,259.0,235.0,6.658328118478996,18.371173070873656,34.0,32.0
1955-04-01,269,267.0,233.0,242.0,229.0,227.0,17.616280348964928,20.807851082383777,2.0,42.0
1955-05-01,270,269.0,267.0,233.0,203.0,234.0,20.231987873991223,24.945941553687472,1.0,36.0
1955-06-01,315,270.0,269.0,267.0,229.0,264.0,1.5275252316503032,19.11718249812599,45.0,51.0
1955-07-01,364,315.0,270.0,269.0,242.0,302.0,26.27419519858464,28.60769127350168,49.0,62.0
1955-08-01,347,364.0,315.0,270.0,233.0,293.0,47.01418225741386,46.12880517276212,-17.0,54.0
1955-09-01,312,347.0,364.0,315.0,267.0,259.0,24.879710609249376,43.14935302720819,-35.0,53.0
1955-10-01,274,312.0,347.0,364.0,269.0,229.0,26.51414716712563,38.85056842140973,-38.0,45.0
1955-11-01,237,274.0,312.0,347.0,270.0,203.0,36.51027252705731,37.76064971192418,-37.0,34.0
1955-12-01,278,237.0,274.0,312.0,315.0,229.0,37.50111109465063,46.73078927930322,41.0,49.0
1956-01-01,284,278.0,237.0,274.0,364.0,242.0,22.60530911091451,48.07078114613884,6.0,42.0
1956-02-01,277,284.0,278.0,237.0,347.0,233.0,25.579940057266125,37.32916643412559,-7.0,44.0
1956-03-01,317,277.0,284.0,278.0,312.0,267.0,3.7859388971995567,24.01666088364465,40.0,50.0
1956-04-01,313,317.0,277.0,284.0,274.0,269.0,21.361959960016037,25.51404841781588,-4.0,44.0
1956-05-01,318,313.0,317.0,277.0,237.0,270.0,22.03028218914429,29.063149634316133,5.0,48.0
1956-06-01,374,318.0,313.0,317.0,278.0,315.0,2.645751311063699,20.11384266286885,56.0,59.0
1956-07-01,413,374.0,318.0,313.0,284.0,364.0,33.86738844375213,34.33608403220489,39.0,49.0
1956-08-01,405,413.0,374.0,318.0,277.0,347.0,47.75283586692344,49.12297493705593,-8.0,58.0
1956-09-01,355,405.0,413.0,374.0,317.0,312.0,20.599352740640427,46.44423179111282,-50.0,43.0
1956-10-01,306,355.0,405.0,413.0,313.0,274.0,31.432467291003377,42.36507995979643,-49.0,32.0
1956-11-01,271,306.0,355.0,405.0,318.0,237.0,49.50084174368482,44.07909557450802,-35.0,34.0
1956-12-01,306,271.0,306.0,355.0,374.0,278.0,42.19399641339192,55.99285668725923,35.0,28.0
1957-01-01,315,306.0,271.0,306.0,413.0,284.0,20.20725942163683,57.98160627877279,9.0,31.0
1957-02-01,301,315.0,306.0,271.0,405.0,277.0,23.24507116214813,46.96239630456088,-14.0,24.0
1957-03-01,356,301.0,315.0,306.0,355.0,317.0,7.094598884597421,27.12194683277691,55.0,39.0
1957-04-01,348,356.0,301.0,315.0,306.0,313.0,28.58321185591286,27.462095088806382,-8.0,35.0
1957-05-01,355,348.0,356.0,301.0,271.0,318.0,29.71531591620721,31.543092217895182,7.0,37.0
1957-06-01,422,355.0,348.0,356.0,306.0,374.0,4.3588989435404,25.561038059254003,67.0,48.0
1957-07-01,465,422.0,355.0,348.0,315.0,413.0,40.85339643163097,42.12718837045684,43.0,52.0
1957-08-01,467,465.0,422.0,355.0,301.0,405.0,55.434646206140776,58.77669606229957,2.0,62.0
1957-09-01,404,467.0,465.0,422.0,356.0,355.0,25.423086620891084,56.2758088939341,-63.0,49.0
1957-10-01,347,404.0,467.0,465.0,348.0,306.0,35.80968211717791,51.61944078219549,-57.0,41.0
1957-11-01,305,347.0,404.0,467.0,355.0,271.0,60.02499479383566,51.861353626760646,-42.0,34.0
1957-12-01,336,305.0,347.0,404.0,422.0,306.0,49.68903299521936,64.8557373457938,31.0,30.0
1958-01-01,340,336.0,305.0,347.0,465.0,315.0,21.77919496522613,68.84378451731573,4.0,25.0
1958-02-01,318,340.0,336.0,305.0,467.0,301.0,19.157244060667956,58.82431470064012,-22.0,17.0
1958-03-01,362,318.0,340.0,336.0,404.0,356.0,11.718930554164515,34.21500645428298,44.0,6.0
1958-04-01,348,362.0,318.0,340.0,347.0,348.0,21.99999999999994,20.43200104411286,-14.0,0.0
1958-05-01,363,348.0,362.0,318.0,305.0,355.0,22.479620400116424,20.556426407978336,15.0,8.0
1958-06-01,435,363.0,348.0,362.0,336.0,422.0,8.386497083605889,17.06165290937425,72.0,13.0
1958-07-01,491,435.0,363.0,348.0,340.0,465.0,46.50806381693391,39.84971769034195,56.0,26.0
1958-08-01,505,491.0,435.0,363.0,318.0,467.0,64.16645021608511,64.18540851834322,14.0,38.0
1958-09-01,404,505.0,491.0,435.0,362.0,404.0,37.0405183549042,69.63524012069315,-101.0,0.0
1958-10-01,359,404.0,505.0,491.0,348.0,347.0,54.72050194701552,64.9112214233147,-45.0,12.0
1958-11-01,310,359.0,404.0,505.0,363.0,305.0,74.76853170507852,62.43209644619174,-49.0,5.0
1958-12-01,337,310.0,359.0,404.0,435.0,336.0,47.0141822574139,75.53189171910493,27.0,1.0
1959-01-01,360,337.0,310.0,359.0,491.0,340.0,24.54248017893328,81.32158385078303,23.0,20.0
1959-02-01,342,360.0,337.0,310.0,505.0,318.0,25.0266524595946,68.97366647255032,-18.0,24.0
1959-03-01,406,342.0,360.0,337.0,404.0,362.0,12.09683154108264,31.32411211830213,64.0,44.0
1959-04-01,396,406.0,342.0,360.0,359.0,348.0,33.00505011863082,31.991665581313978,-10.0,48.0
1959-05-01,420,396.0,406.0,342.0,310.0,363.0,34.42867022313428,36.74642839787236,24.0,57.0
1959-06-01,472,420.0,396.0,406.0,337.0,435.0,12.055427546683417,35.113625085807065,52.0,37.0
1959-07-01,548,472.0,420.0,396.0,360.0,491.0,38.85013942488925,46.037665738681966,76.0,57.0
1959-08-01,559,548.0,472.0,420.0,342.0,505.0,64.37390775772433,71.07929843960618,11.0,54.0
1959-09-01,463,559.0,548.0,472.0,406.0,404.0,47.37439533475159,72.13991035942996,-96.0,59.0
1959-10-01,407,463.0,559.0,548.0,396.0,359.0,52.53887449625594,66.02019892931698,-56.0,48.0
1959-11-01,362,407.0,463.0,559.0,420.0,310.0,76.87218829546443,63.445777374594336,-45.0,52.0
1959-12-01,405,362.0,407.0,463.0,472.0,337.0,50.59973649470266,77.04219623037706,43.0,68.0
1960-01-01,417,405.0,362.0,407.0,548.0,360.0,25.42308662089136,81.17799373393382,12.0,57.0
1960-02-01,391,417.0,405.0,362.0,559.0,342.0,28.919428302325496,68.54998176513212,-26.0,49.0
1960-03-01,419,391.0,417.0,405.0,463.0,406.0,13.01281419729584,33.224990594430054,28.0,13.0
1960-04-01,461,419.0,391.0,417.0,407.0,396.0,15.620499351813656,21.207703003075025,42.0,65.0
1960-05-01,472,461.0,419.0,391.0,362.0,420.0,35.23256069793031,32.914535796007094,11.0,52.0
1960-06-01,535,472.0,461.0,419.0,405.0,472.0,27.970222261064407,32.01093563143625,63.0,63.0
1960-07-01,622,535.0,472.0,461.0,417.0,548.0,39.92910383834507,51.68526546963466,87.0,74.0
1960-08-01,606,622.0,535.0,472.0,391.0,559.0,75.31932023060226,83.8919940558489,-16.0,47.0
1960-09-01,508,606.0,622.0,535.0,419.0,463.0,46.30694692304108,82.47039872988711,-98.0,45.0
1960-10-01,461,508.0,606.0,622.0,461.0,407.0,61.71979693204882,67.49518501345031,-47.0,54.0
1960-11-01,390,461.0,508.0,606.0,472.0,362.0,73.97972695272678,67.49518501345031,-71.0,28.0
1960-12-01,432,390.0,461.0,508.0,535.0,405.0,59.40538696111666,87.80584642645708,42.0,27.0
