ds,y,lag_1,lag_2,lag_3,lag_4,lag_5,lag_6,lag_9,lag_12,lag_18,lag_24,lag_36,rolling_mean_3,rolling_std_3,rolling_min_3,rolling_max_3,rolling_mean_6,rolling_std_6,rolling_min_6,rolling_max_6,rolling_mean_12,rolling_std_12,rolling_min_12,rolling_max_12,rolling_mean_24,rolling_std_24,rolling_min_24,rolling_max_24,diff_1,diff_12,diff_24,day_of_week,day_of_month,day_of_year,week_of_year,month,quarter,is_weekend,fourier_sin_p12_k1,fourier_cos_p12_k1,fourier_sin_p12_k2,fourier_cos_p12_k2,fourier_sin_p12_k3,fourier_cos_p12_k3,fourier_sin_p12_k4,fourier_cos_p12_k4
1952-11-01,172,191.0,209.0,242.0,230.0,218.0,183.0,180.0,146.0,172.0,114.0,104.0,214.0,25.86503431275512,191.0,242.0,212.16666666666666,22.5868693418691,183.0,242.0,192.5,27.77670705007088,146.0,242.0,178.91666666666666,29.368597051163732,114.0,242.0,-19.0,26.0,58.0,5,1,306,44,11,4,1,-0.8660254037844403,0.4999999999999971,-0.8660254037844354,-0.5000000000000058,6.369401316839413e-15,-1.0,0.8660254037844453,-0.49999999999998856
1952-12-01,194,172.0,191.0,209.0,242.0,230.0,218.0,193.0,166.0,178.0,140.0,118.0,190.66666666666666,18.502252115170545,172.0,209.0,210.33333333333334,25.664502073226874,172.0,242.0,194.66666666666666,24.658884931411826,166.0,242.0,181.33333333333334,25.986060923480505,140.0,242.0,22.0,28.0,54.0,0,1,336,49,12,4,0,-0.5000000000000003,0.8660254037844385,-0.866025403784439,0.49999999999999933,-1.0,-1.1759704174997533e-14,-0.8660254037844379,-0.5000000000000012
1953-01-01,196,194.0,172.0,191.0,209.0,242.0,230.0,181.0,171.0,199.0,145.0,115.0,185.66666666666666,11.930353445448835,172.0,194.0,206.33333333333334,26.097254006248757,172.0,242.0,197.0,22.96637858815685,171.0,242.0,183.58333333333334,24.549712947346272,145.0,242.0,2.0,25.0,51.0,3,1,1,1,1,1,0,-9.797174393178826e-16,1.0,-1.959434878635765e-15,1.0,-2.9391523179536475e-15,1.0,-3.91886975727153e-15,1.0
1953-02-01,196,196.0,194.0,172.0,191.0,209.0,242.0,183.0,180.0,199.0,150.0,126.0,187.33333333333334,13.316656236958766,172.0,196.0,200.66666666666666,23.49184255580365,172.0,242.0,199.08333333333334,21.479200651003403,172.0,242.0,185.70833333333334,23.236925574286445,146.0,242.0,0.0,16.0,46.0,6,1,32,5,2,1,1,0.4999999999999986,0.8660254037844395,0.866025403784437,0.5000000000000028,1.0,-5.881399539090237e-15,0.8660254037844418,-0.4999999999999945
1953-03-01,236,196.0,196.0,194.0,172.0,191.0,209.0,218.0,193.0,184.0,178.0,141.0,195.33333333333334,1.1547005383789788,194.0,196.0,193.0,12.000000000000068,172.0,209.0,200.41666666666666,20.668193980709763,172.0,242.0,187.625,22.02925426514163,146.0,242.0,40.0,43.0,58.0,6,1,60,9,3,1,1,0.8660254037844393,0.49999999999999883,0.8660254037844373,-0.5000000000000023,-4.91096680932118e-16,-1.0,-0.8660254037844414,-0.49999999999999534
1953-04-01,235,236.0,196.0,196.0,194.0,172.0,191.0,230.0,181.0,162.0,163.0,135.0,209.33333333333334,23.09401076758501,196.0,236.0,197.5,20.935615586841504,172.0,236.0,204.0,22.875155240407285,172.0,242.0,190.04166666666666,24.018976495347545,146.0,242.0,-1.0,54.0,72.0,2,1,91,14,4,2,0,1.0,2.8173066186755008e-15,5.6346132373510016e-15,-1.0,-1.0,-4.899206177226001e-15,-1.1269226474702003e-14,1.0
1953-05-01,229,235.0,236.0,196.0,196.0,194.0,172.0,242.0,183.0,146.0,172.0,125.0,222.33333333333334,22.81081614790081,196.0,236.0,204.83333333333334,25.427675211600974,172.0,236.0,208.5,23.247678280949955,172.0,242.0,193.04166666666666,24.97212213765524,146.0,242.0,-6.0,46.0,57.0,4,1,121,18,5,2,0,0.8660254037844386,-0.5000000000000001,-0.8660254037844388,-0.4999999999999998,-1.028950903538412e-14,1.0,0.8660254037844384,-0.5000000000000004
1953-06-01,243,229.0,235.0,236.0,196.0,196.0,194.0,209.0,218.0,166.0,178.0,149.0,233.33333333333334,3.785938897200021,229.0,236.0,214.33333333333334,20.963460274169076,194.0,236.0,212.33333333333334,22.439143288351254,172.0,242.0,195.41666666666666,25.58687956350093,146.0,242.0,14.0,25.0,65.0,0,1,152,23,6,2,0,0.5000000000000004,-0.8660254037844384,-0.8660254037844392,0.49999999999999917,1.0,1.4689571783402355e-15,-0.8660254037844377,-0.5000000000000017
1953-07-01,264,243.0,229.0,235.0,236.0,196.0,196.0,191.0,230.0,171.0,199.0,170.0,235.66666666666666,7.0237691685684105,229.0,243.0,222.5,21.002380817421553,196.0,243.0,214.41666666666666,24.111326396655755,172.0,243.0,198.125,27.06082119002047,146.0,243.0,21.0,34.0,65.0,2,1,182,27,7,3,0,1.102182119232618e-15,-1.0,-2.204364238465236e-15,1.0,6.859260036498355e-15,-1.0,-4.408728476930472e-15,1.0
1953-08-01,272,264.0,243.0,229.0,235.0,236.0,196.0,172.0,242.0,180.0,199.0,170.0,245.33333333333334,17.616280348965045,229.0,264.0,233.83333333333334,22.15776763725672,196.0,264.0,217.25,27.821263940963146,172.0,264.0,200.83333333333334,30.22044609728388,146.0,264.0,8.0,30.0,73.0,5,1,213,31,8,3,1,-0.5000000000000016,-0.8660254037844377,0.8660254037844405,0.49999999999999684,-1.0,-1.2249562894656474e-14,0.8660254037844349,-0.5000000000000063
1953-09-01,237,272.0,264.0,243.0,229.0,235.0,236.0,194.0,209.0,193.0,184.0,158.0,259.6666666666667,14.977761292440595,243.0,272.0,246.5,17.4212513901841,229.0,272.0,219.75,31.36913654012072,172.0,272.0,203.875,33.521326761124584,146.0,272.0,-35.0,28.0,53.0,1,1,244,36,9,3,0,-0.8660254037844375,-0.500000000000002,0.8660254037844409,-0.49999999999999595,-3.429011037612589e-15,1.0,-0.866025403784434,-0.5000000000000081
1953-10-01,211,237.0,272.0,264.0,243.0,229.0,235.0,196.0,191.0,181.0,162.0,133.0,257.6666666666667,18.33939293797185,237.0,272.0,246.66666666666666,17.305105219751137,229.0,272.0,222.08333333333334,31.537735934572066,172.0,272.0,206.08333333333334,33.89871956882438,146.0,272.0,-26.0,20.0,49.0,3,1,274,40,10,4,0,-1.0,-2.939771298590236e-15,5.879542597180472e-15,-1.0,1.0,8.819313895770708e-15,-1.1759085194360944e-14,1.0
1953-11-01,180,211.0,237.0,272.0,264.0,243.0,229.0,196.0,172.0,183.0,146.0,114.0,240.0,30.61045573002793,211.0,272.0,242.66666666666666,22.527020812052776,211.0,272.0,223.75,30.247839892822576,172.0,272.0,208.125,32.57808345712084,146.0,272.0,-31.0,8.0,34.0,6,1,305,44,11,4,1,-0.8660254037844386,0.5,-0.8660254037844386,-0.5,1.4209616753928827e-14,-1.0,0.8660254037844386,-0.5
1953-12-01,201,180.0,211.0,237.0,272.0,264.0,243.0,236.0,194.0,218.0,166.0,140.0,209.33333333333334,28.53652630109937,180.0,237.0,234.5,34.28556547586746,180.0,272.0,224.41666666666666,29.06875340021369,180.0,272.0,209.54166666666666,30.427360637464425,166.0,272.0,21.0,7.0,35.0,1,1,335,49,12,4,0,-0.5000000000000006,0.8660254037844384,-0.8660254037844393,0.49999999999999895,-1.0,8.821789818317062e-15,-0.8660254037844374,-0.5000000000000021
1954-01-01,204,201.0,180.0,211.0,237.0,272.0,264.0,235.0,196.0,230.0,171.0,145.0,197.33333333333334,15.821925715074558,180.0,211.0,227.5,36.423893257036596,180.0,272.0,225.0,28.466886664397414,180.0,272.0,211.0,29.05766380986189,171.0,272.0,3.0,8.0,33.0,4,1,1,53,1,1,0,-4.777360477947854e-15,1.0,-9.554720955895708e-15,1.0,3.4314869601589423e-15,1.0,-1.9109441911791416e-14,1.0
1954-02-01,188,204.0,201.0,180.0,211.0,237.0,272.0,229.0,196.0,242.0,180.0,150.0,195.0,13.076696830622195,180.0,204.0,217.5,32.414502926930695,180.0,272.0,225.66666666666666,27.812140361992324,180.0,272.0,212.375,27.83774806609373,172.0,272.0,-16.0,-8.0,8.0,0,1,32,5,2,1,0,0.4999999999999984,0.8660254037844396,0.8660254037844368,0.5000000000000032,1.0,1.9588158979991767e-15,0.8660254037844423,-0.4999999999999936
1954-03-01,235,188.0,204.0,201.0,180.0,211.0,237.0,243.0,236.0,209.0,193.0,178.0,197.66666666666666,8.504900548115643,188.0,204.0,203.5,19.887181801351407,180.0,237.0,225.0,28.670542373663093,180.0,272.0,212.70833333333334,27.478812654980878,172.0,272.0,47.0,-1.0,42.0,0,1,60,9,3,1,0,0.8660254037844374,0.5000000000000021,0.866025403784441,-0.4999999999999957,7.349118756157295e-15,-1.0,-0.8660254037844337,-0.5000000000000084
1954-04-01,227,235.0,188.0,204.0,201.0,180.0,211.0,264.0,235.0,191.0,181.0,163.0,209.0,23.89560629069711,188.0,235.0,203.16666666666666,19.218914294690777,180.0,235.0,224.91666666666666,28.637097152702896,180.0,272.0,214.45833333333334,27.506488035697544,172.0,272.0,-8.0,-8.0,46.0,3,1,91,13,4,2,0,1.0,-4.904777002955296e-16,-9.809554005910593e-16,-1.0,-1.0,1.471433100886589e-15,1.9619108011821185e-15,1.0
1954-05-01,234,227.0,235.0,188.0,204.0,201.0,180.0,272.0,229.0,172.0,183.0,172.0,216.66666666666666,25.146238950056443,188.0,235.0,205.83333333333334,21.498061928152236,180.0,235.0,224.25,28.473672049807885,180.0,272.0,216.375,26.66346221688597,172.0,272.0,7.0,5.0,51.0,5,1,121,17,5,2,1,0.8660254037844405,-0.49999999999999684,-0.8660254037844349,-0.5000000000000063,-3.91886975727153e-15,1.0,0.866025403784446,-0.49999999999998723
1954-06-01,264,234.0,227.0,235.0,188.0,204.0,201.0,237.0,243.0,194.0,218.0,178.0,232.0,4.358898943540727,227.0,235.0,214.83333333333334,19.752636954762927,188.0,235.0,224.66666666666666,28.585862155120072,180.0,272.0,218.5,25.909541636742414,172.0,272.0,30.0,21.0,46.0,1,1,152,22,6,2,0,0.5000000000000007,-0.8660254037844383,-0.8660254037844394,0.4999999999999987,1.0,9.309172615429648e-15,-0.8660254037844372,-0.5000000000000026
1954-07-01,302,264.0,234.0,227.0,235.0,188.0,204.0,211.0,264.0,196.0,230.0,199.0,241.66666666666666,19.655363983740738,227.0,264.0,225.33333333333334,26.51540432779902,188.0,264.0,226.41666666666666,30.39574830714859,180.0,272.0,220.41666666666666,27.52219130979137,172.0,272.0,38.0,38.0,72.0,3,1,182,26,7,3,0,-2.2056021997384123e-15,-1.0,4.411204399476825e-15,1.0,4.886207583857646e-16,-1.0,8.82240879895365e-15,1.0
1954-08-01,293,302.0,264.0,234.0,227.0,235.0,188.0,180.0,272.0,196.0,242.0,199.0,266.6666666666667,34.07834111768544,234.0,302.0,241.66666666666666,38.30752754572733,188.0,302.0,229.58333333333334,36.10957650196866,180.0,302.0,223.41666666666666,32.14764399598758,172.0,302.0,-9.0,21.0,51.0,6,1,213,30,8,3,1,-0.4999999999999983,-0.8660254037844396,0.8660254037844367,0.5000000000000034,-1.0,-5.8789236165438834e-15,0.8660254037844426,-0.4999999999999932
1954-09-01,259,293.0,302.0,264.0,234.0,227.0,235.0,201.0,237.0,236.0,209.0,184.0,286.3333333333333,19.857828011475213,264.0,302.0,259.1666666666667,32.4186160510694,227.0,302.0,231.33333333333334,38.763462959416735,180.0,302.0,225.54166666666666,34.989413512818665,172.0,302.0,-34.0,22.0,50.0,2,1,244,35,9,3,0,-0.8660254037844392,-0.49999999999999917,0.8660254037844377,-0.5000000000000017,-1.1269226474702003e-14,1.0,-0.8660254037844406,-0.4999999999999966
1954-10-01,229,259.0,293.0,302.0,264.0,234.0,227.0,204.0,211.0,235.0,191.0,162.0,284.6666666666667,22.678918257565336,259.0,302.0,263.1666666666667,30.248415936485895,227.0,302.0,233.16666666666666,39.56774015035573,180.0,302.0,227.625,35.44722040982356,172.0,302.0,-30.0,18.0,38.0,4,1,274,39,10,4,0,-1.0,-3.1847006584197066e-15,6.369401316839413e-15,-1.0,1.0,1.6659529332860122e-14,-1.2738802633678827e-14,1.0
1954-11-01,203,229.0,259.0,293.0,302.0,264.0,234.0,188.0,180.0,229.0,172.0,146.0,260.3333333333333,32.020826556060825,229.0,293.0,263.5,29.77750829065432,229.0,302.0,234.66666666666666,38.98795462781574,180.0,302.0,229.20833333333334,34.578177544787465,172.0,302.0,-26.0,23.0,31.0,0,1,305,44,11,4,0,-0.8660254037844388,0.4999999999999998,-0.8660254037844384,-0.5000000000000004,-6.371877239385766e-15,-1.0,0.8660254037844392,-0.49999999999999917
1954-12-01,229,203.0,229.0,259.0,293.0,302.0,264.0,235.0,201.0,243.0,194.0,166.0,230.33333333333334,28.023799409311515,203.0,259.0,258.3333333333333,37.58545818087967,203.0,302.0,236.58333333333334,36.54501168132106,188.0,302.0,230.5,32.88583678226189,180.0,302.0,26.0,28.0,35.0,2,1,335,48,12,4,0,-0.49999999999999767,0.86602540378444,-0.8660254037844359,0.5000000000000047,-1.0,9.815743812276475e-16,-0.866025403784444,-0.4999999999999907
1955-01-01,242,229.0,203.0,229.0,259.0,293.0,302.0,227.0,204.0,264.0,196.0,171.0,220.33333333333334,15.011106998930085,203.0,229.0,252.5,39.21096785339517,203.0,302.0,238.91666666666666,34.92448563643724,188.0,302.0,231.95833333333334,31.9598650030706,180.0,302.0,13.0,38.0,46.0,5,1,1,52,1,1,1,-1.4695761589768238e-15,1.0,-2.9391523179536475e-15,1.0,-4.408728476930472e-15,1.0,-5.878304635907295e-15,1.0
1955-02-01,233,242.0,229.0,203.0,229.0,259.0,293.0,234.0,188.0,272.0,196.0,180.0,224.66666666666666,19.85782801147517,203.0,242.0,242.5,30.813957876261068,203.0,293.0,242.08333333333334,33.14831226564364,188.0,302.0,233.875,31.076780791256848,180.0,302.0,-9.0,45.0,37.0,1,1,32,5,2,1,0,0.4999999999999951,0.8660254037844415,0.866025403784433,0.5000000000000098,1.0,-4.411823380113413e-15,0.8660254037844499,-0.49999999999998046
1955-03-01,267,233.0,242.0,229.0,203.0,229.0,259.0,264.0,235.0,237.0,236.0,193.0,234.66666666666666,6.6583281184789955,229.0,242.0,232.5,18.371173070873656,203.0,259.0,245.83333333333334,28.723868229411952,203.0,302.0,235.41666666666666,30.015817086368376,180.0,302.0,34.0,32.0,31.0,1,1,60,9,3,1,0,0.8660254037844373,0.5000000000000023,0.8660254037844414,-0.49999999999999534,9.784794780447059e-16,-1.0,-0.8660254037844333,-0.5000000000000093
1955-04-01,269,267.0,233.0,242.0,229.0,203.0,229.0,302.0,227.0,211.0,235.0,181.0,247.33333333333334,17.616280348964928,233.0,267.0,233.83333333333334,20.807851082383777,203.0,267.0,248.5,29.10951109798398,203.0,302.0,236.70833333333334,30.701195510877206,180.0,302.0,2.0,42.0,34.0,4,1,91,13,4,2,0,1.0,-2.45548340466059e-16,-4.91096680932118e-16,-1.0,-1.0,-6.368782336202825e-15,9.82193361864236e-16,1.0
1955-05-01,270,269.0,267.0,233.0,242.0,229.0,203.0,293.0,234.0,180.0,229.0,183.0,256.3333333333333,20.231987873991226,233.0,269.0,240.5,24.945941553687472,203.0,269.0,252.0,28.812875909596997,203.0,302.0,238.125,31.395530698271248,180.0,302.0,1.0,36.0,41.0,6,1,121,17,5,2,1,0.8660254037844406,-0.4999999999999966,-0.8660254037844347,-0.5000000000000068,-1.1759085194360944e-14,1.0,0.8660254037844465,-0.4999999999999864
1955-06-01,315,270.0,269.0,267.0,233.0,242.0,229.0,259.0,264.0,201.0,243.0,218.0,268.6666666666667,1.5275252316503032,267.0,270.0,251.66666666666666,19.11718249812599,229.0,270.0,255.0,28.64199078911335,203.0,302.0,239.83333333333334,31.98731632689912,180.0,302.0,45.0,51.0,72.0,2,1,152,22,6,2,0,0.5000000000000009,-0.8660254037844382,-0.8660254037844396,0.4999999999999983,1.0,2.9385333373170594e-15,-0.8660254037844367,-0.5000000000000034
1955-07-01,364,315.0,270.0,269.0,267.0,233.0,242.0,229.0,302.0,204.0,264.0,230.0,284.6666666666667,26.274195198584636,269.0,315.0,266.0,28.607691273501676,233.0,315.0,259.25,33.47488882458313,203.0,315.0,242.83333333333334,35.482594222430095,180.0,315.0,49.0,62.0,100.0,4,1,182,26,7,3,0,5.14475451769206e-15,-1.0,-1.028950903538412e-14,1.0,8.328836195475178e-15,-1.0,-2.057901807076824e-14,1.0
1955-08-01,347,364.0,315.0,270.0,269.0,267.0,233.0,203.0,293.0,188.0,272.0,242.0,316.3333333333333,47.014182257413864,270.0,364.0,286.3333333333333,46.12880517276212,233.0,364.0,264.4166666666667,43.849864379044845,203.0,364.0,247.0,43.12469281554119,180.0,364.0,-17.0,54.0,75.0,0,1,213,31,8,3,0,-0.4999999999999981,-0.8660254037844397,0.8660254037844365,0.5000000000000038,-1.0,-1.3719139053633297e-14,0.866025403784443,-0.49999999999999234
1955-09-01,312,347.0,364.0,315.0,270.0,269.0,267.0,229.0,259.0,235.0,237.0,209.0,342.0,24.879710609249376,315.0,364.0,305.3333333333333,43.14935302720819,267.0,364.0,268.9166666666667,49.46157063516069,203.0,364.0,250.125,47.509552815151395,180.0,364.0,-35.0,53.0,75.0,3,1,244,35,9,3,0,-0.866025403784439,-0.49999999999999933,0.8660254037844379,-0.5000000000000012,-1.9109441911791416e-14,1.0,-0.8660254037844402,-0.49999999999999745
1955-10-01,274,312.0,347.0,364.0,315.0,270.0,269.0,242.0,229.0,227.0,211.0,191.0,341.0,26.51414716712563,312.0,364.0,312.8333333333333,38.85056842140973,269.0,364.0,273.3333333333333,50.84259726813452,203.0,364.0,253.25,49.050329077476164,180.0,364.0,-38.0,45.0,63.0,5,1,274,39,10,4,1,-1.0,-3.4296300182491773e-15,6.859260036498355e-15,-1.0,1.0,-3.921964660454472e-15,-1.371852007299671e-14,1.0
1955-11-01,237,274.0,312.0,347.0,364.0,315.0,270.0,233.0,203.0,234.0,180.0,172.0,311.0,36.51027252705731,274.0,347.0,313.6666666666667,37.76064971192418,270.0,364.0,277.0833333333333,48.89777524839395,203.0,364.0,255.875,48.37202973692104,180.0,364.0,-37.0,34.0,57.0,1,1,305,44,11,4,0,-0.8660254037844425,0.4999999999999934,-0.866025403784431,-0.5000000000000131,1.567919291290565e-14,-1.0,0.8660254037844538,-0.4999999999999737
1955-12-01,278,237.0,274.0,312.0,347.0,364.0,315.0,267.0,229.0,264.0,201.0,194.0,274.3333333333333,37.50111109465063,237.0,312.0,308.1666666666667,46.730789279303224,237.0,364.0,279.9166666666667,45.04837467219084,229.0,364.0,258.25,45.816505474698225,188.0,364.0,41.0,49.0,77.0,3,1,335,48,12,4,0,-0.4999999999999979,0.8660254037844398,-0.8660254037844362,0.5000000000000042,-1.0,-2.106949577106377e-14,-0.8660254037844436,-0.4999999999999915
1956-01-01,284,278.0,237.0,274.0,312.0,347.0,364.0,269.0,242.0,302.0,204.0,196.0,263.0,22.60530911091451,237.0,278.0,302.0,48.070781146138835,237.0,364.0,284.0,42.140457778935044,233.0,364.0,261.4583333333333,44.30426337976062,188.0,364.0,6.0,42.0,80.0,6,1,1,52,1,1,1,-1.7145055188062944e-15,1.0,-3.429011037612589e-15,1.0,1.9619108011821185e-15,1.0,-6.858022075225178e-15,1.0
1956-02-01,277,284.0,278.0,237.0,274.0,312.0,347.0,270.0,233.0,293.0,188.0,196.0,266.3333333333333,25.579940057266125,237.0,284.0,288.6666666666667,37.32916643412559,237.0,347.0,287.5,40.02612783034271,233.0,364.0,264.7916666666667,42.77644533341134,188.0,364.0,-7.0,44.0,89.0,2,1,32,5,2,1,0,0.5000000000000011,0.866025403784438,0.8660254037844398,0.4999999999999979,1.0,3.4283920569760004e-15,0.8660254037844362,-0.5000000000000042
1956-03-01,317,277.0,284.0,278.0,237.0,274.0,312.0,315.0,267.0,259.0,235.0,236.0,279.6666666666667,3.7859388971995567,277.0,284.0,277.0,24.016660883644654,237.0,312.0,291.1666666666667,36.43383375962883,237.0,364.0,268.5,39.56722402938212,203.0,364.0,40.0,50.0,82.0,3,1,61,9,3,1,0,0.8660254037844372,0.5000000000000026,0.8660254037844416,-0.4999999999999949,8.81869491513412e-15,-1.0,-0.8660254037844327,-0.5000000000000102
1956-04-01,313,317.0,277.0,284.0,278.0,237.0,274.0,364.0,269.0,229.0,227.0,235.0,292.6666666666667,21.361959960016033,277.0,317.0,277.8333333333333,25.514048417815882,237.0,317.0,295.3333333333333,36.27754961488763,237.0,364.0,271.9166666666667,40.08568720678977,203.0,364.0,-4.0,44.0,86.0,6,1,92,13,4,2,1,1.0,7.1048083769644134e-15,1.4209616753928827e-14,-1.0,-1.0,-1.4208997773292239e-14,-2.8419233507857654e-14,1.0
1956-05-01,318,313.0,317.0,277.0,284.0,278.0,237.0,347.0,270.0,203.0,234.0,229.0,302.3333333333333,22.030282189144295,277.0,317.0,284.3333333333333,29.063149634316133,237.0,317.0,299.0,35.5911122715672,237.0,364.0,275.5,39.73827417972021,203.0,364.0,5.0,48.0,84.0,1,1,122,18,5,2,0,0.8660254037844407,-0.4999999999999964,-0.8660254037844345,-0.5000000000000072,8.82240879895365e-15,1.0,0.8660254037844469,-0.49999999999998557
1956-06-01,374,318.0,313.0,317.0,277.0,284.0,278.0,312.0,315.0,229.0,264.0,243.0,316.0,2.645751311063699,313.0,318.0,297.8333333333333,20.113842662868855,277.0,318.0,303.0,34.72227474743545,237.0,364.0,279.0,39.623225512318015,203.0,364.0,56.0,59.0,110.0,4,1,153,22,6,2,0,0.5000000000000011,-0.866025403784438,-0.8660254037844398,0.4999999999999979,1.0,-3.4321059407955307e-15,-0.8660254037844362,-0.5000000000000042
1956-07-01,413,374.0,318.0,313.0,317.0,277.0,284.0,274.0,364.0,242.0,302.0,264.0,335.0,33.86738844375213,313.0,374.0,313.8333333333333,34.33608403220489,277.0,374.0,307.9166666666667,40.304428661091336,237.0,374.0,283.5833333333333,43.93959951794179,203.0,374.0,39.0,49.0,111.0,6,1,183,26,7,3,1,-1.7157434800794711e-15,-1.0,3.4314869601589423e-15,1.0,1.9581969173625882e-15,-1.0,6.8629739203178846e-15,1.0
