ds,y,lag_1,lag_2,lag_3,lag_4,lag_5,lag_6,lag_9,lag_12,lag_18,lag_24,rolling_mean_3,rolling_std_3,rolling_min_3,rolling_max_3,rolling_mean_6,rolling_std_6,rolling_min_6,rolling_max_6,rolling_mean_9,rolling_std_9,rolling_min_9,rolling_max_9,rolling_mean_12,rolling_std_12,rolling_min_12,rolling_max_12,diff_1,diff_12,day_of_week,day_of_month,day_of_year,week_of_year,month,quarter,is_weekend,fourier_sin_p12_k1,fourier_cos_p12_k1,fourier_sin_p12_k2,fourier_cos_p12_k2,fourier_sin_p12_k3,fourier_cos_p12_k3,fourier_sin_p12_k4,fourier_cos_p12_k4
1951-11-01,146,162.0,184.0,199.0,199.0,178.0,172.0,150.0,114.0,125.0,104.0,181.66666666666666,18.610033136277156,162.0,199.0,182.33333333333334,14.814407401805394,162.0,199.0,176.11111111111111,16.533635749922368,150.0,199.0,165.33333333333334,25.086516962969018,114.0,199.0,-16.0,32.0,3,1,305,44,11,4,0,-0.8660254037844384,0.5000000000000004,-0.8660254037844392,-0.49999999999999917,5.6346132373510016e-15,-1.0,0.8660254037844377,-0.5000000000000017
1951-12-01,166,146.0,162.0,184.0,199.0,199.0,178.0,178.0,140.0,149.0,118.0,164.0,19.078784028338923,146.0,184.0,178.0,20.9666401695646,146.0,199.0,175.66666666666666,17.356554957709776,146.0,199.0,168.0,20.396078054371117,140.0,199.0,20.0,26.0,5,1,335,48,12,4,1,-0.5000000000000001,0.8660254037844386,-0.8660254037844388,0.4999999999999998,-1.0,3.185938619692883e-15,-0.8660254037844384,-0.5000000000000004
1952-01-01,171,166.0,146.0,162.0,184.0,199.0,199.0,163.0,145.0,170.0,115.0,158.0,10.583005244258379,146.0,166.0,176.0,21.53137245973883,146.0,199.0,174.33333333333334,17.613914953808532,146.0,199.0,170.16666666666666,18.43826718999636,145.0,199.0,5.0,26.0,1,1,1,1,1,1,0,-7.347880794884119e-16,1.0,-1.4695761589768238e-15,1.0,-2.204364238465236e-15,1.0,-2.9391523179536475e-15,1.0
1952-02-01,180,171.0,166.0,146.0,162.0,184.0,199.0,172.0,150.0,170.0,126.0,161.0,13.228756555322965,146.0,171.0,171.33333333333334,18.348478592697177,146.0,199.0,175.22222222222223,17.16666666666666,146.0,199.0,172.33333333333334,16.653327995729047,146.0,199.0,9.0,30.0,4,1,32,5,2,1,0,0.49999999999999883,0.8660254037844393,0.8660254037844373,0.5000000000000023,1.0,4.892397390223529e-16,0.8660254037844414,-0.49999999999999534
1952-03-01,193,180.0,171.0,166.0,146.0,162.0,184.0,178.0,178.0,158.0,141.0,172.33333333333334,7.094598884597608,166.0,180.0,168.16666666666666,13.658940905746192,146.0,184.0,176.11111111111111,17.186073173098936,146.0,199.0,174.83333333333334,15.182725431066425,146.0,199.0,13.0,15.0,5,1,61,9,3,1,1,0.8660254037844377,0.5000000000000017,0.8660254037844406,-0.4999999999999966,5.879542597180472e-15,-1.0,-0.8660254037844347,-0.5000000000000068
1952-04-01,181,193.0,180.0,171.0,166.0,146.0,162.0,199.0,163.0,133.0,135.0,181.33333333333334,11.060440015358047,171.0,193.0,169.66666666666666,16.033298683261236,146.0,193.0,177.77777777777777,18.095426064186615,146.0,199.0,176.08333333333334,16.05931241216494,146.0,199.0,-12.0,18.0,1,1,92,14,4,2,0,1.0,2.57237725884603e-15,5.14475451769206e-15,-1.0,-1.0,-4.164418097737589e-15,-1.028950903538412e-14,1.0
1952-05-01,183,181.0,193.0,180.0,171.0,166.0,146.0,199.0,172.0,114.0,125.0,184.66666666666666,7.234178138070241,180.0,193.0,172.83333333333334,16.09244128983127,146.0,193.0,175.77777777777777,16.369008657962286,146.0,199.0,177.58333333333334,15.55902739033945,146.0,199.0,2.0,11.0,3,1,122,18,5,2,0,0.8660254037844385,-0.5000000000000003,-0.866025403784439,-0.49999999999999933,-9.554720955895708e-15,1.0,0.8660254037844379,-0.5000000000000012
1952-06-01,218,183.0,181.0,193.0,180.0,171.0,166.0,184.0,178.0,140.0,149.0,185.66666666666666,6.429100507328643,181.0,193.0,179.0,9.486832980505113,166.0,193.0,174.0,14.2653426176871,146.0,193.0,178.5,15.524174696260024,146.0,199.0,35.0,40.0,6,1,153,22,6,2,1,0.5000000000000033,-0.8660254037844367,-0.8660254037844425,0.4999999999999934,1.0,7.839596456452825e-15,-0.866025403784431,-0.5000000000000131
1952-07-01,230,218.0,183.0,181.0,193.0,180.0,171.0,162.0,199.0,145.0,170.0,194.0,20.808652046684813,181.0,218.0,187.66666666666666,16.439789130845515,171.0,218.0,177.77777777777777,20.419217527722367,146.0,218.0,181.83333333333334,19.25349240259985,146.0,218.0,12.0,31.0,1,1,183,27,7,3,0,8.572527594031472e-16,-1.0,-1.7145055188062944e-15,1.0,-9.809554005910593e-16,-1.0,-3.429011037612589e-15,1.0
1952-08-01,242,230.0,218.0,183.0,181.0,193.0,180.0,146.0,199.0,150.0,170.0,210.33333333333334,24.419937209856485,183.0,230.0,197.5,21.379897099845913,180.0,230.0,185.33333333333334,25.739075352467495,146.0,230.0,184.41666666666666,23.399527319753272,146.0,230.0,12.0,43.0,4,1,214,31,8,3,0,-0.4999999999999987,-0.8660254037844394,0.8660254037844372,0.5000000000000026,-1.0,-4.40934745756706e-15,0.8660254037844416,-0.4999999999999949
1952-09-01,209,242.0,230.0,218.0,183.0,181.0,193.0,166.0,184.0,178.0,158.0,230.0,11.999999999999991,218.0,242.0,207.83333333333334,25.763669510895888,181.0,242.0,196.0,27.248853186877422,166.0,242.0,188.0,28.559348095437425,146.0,242.0,-33.0,25.0,0,1,245,36,9,3,0,-0.8660254037844376,-0.5000000000000018,0.8660254037844407,-0.4999999999999964,4.411204399476825e-15,1.0,-0.8660254037844345,-0.5000000000000072
1952-10-01,191,209.0,242.0,230.0,218.0,183.0,181.0,171.0,162.0,163.0,133.0,227.0,16.70329308849006,209.0,242.0,210.5,24.728526037756467,181.0,242.0,200.77777777777777,25.008887309203587,171.0,242.0,190.08333333333334,29.14683308333653,146.0,242.0,-18.0,29.0,2,1,275,40,10,4,0,-1.0,8.578717400397356e-16,-1.7157434800794711e-15,-1.0,1.0,9.790984586812941e-16,3.4314869601589423e-15,1.0
1952-11-01,172,191.0,209.0,242.0,230.0,218.0,183.0,180.0,146.0,172.0,114.0,214.0,25.86503431275512,191.0,242.0,212.16666666666666,22.5868693418691,183.0,242.0,203.0,22.82542442102665,180.0,242.0,192.5,27.77670705007088,146.0,242.0,-19.0,26.0,5,1,306,44,11,4,1,-0.8660254037844403,0.4999999999999971,-0.8660254037844354,-0.5000000000000058,6.369401316839413e-15,-1.0,0.8660254037844453,-0.49999999999998856
1952-12-01,194,172.0,191.0,209.0,242.0,230.0,218.0,193.0,166.0,178.0,140.0,190.66666666666666,18.502252115170545,172.0,209.0,210.33333333333334,25.664502073226874,172.0,242.0,202.11111111111111,23.96061583330259,172.0,242.0,194.66666666666666,24.658884931411826,166.0,242.0,22.0,28.0,0,1,336,49,12,4,0,-0.5000000000000003,0.8660254037844385,-0.866025403784439,0.49999999999999933,-1.0,-1.1759704174997533e-14,-0.8660254037844379,-0.5000000000000012
1953-01-01,196,194.0,172.0,191.0,209.0,242.0,230.0,181.0,171.0,199.0,145.0,185.66666666666666,11.930353445448835,172.0,194.0,206.33333333333334,26.097254006248757,172.0,242.0,202.22222222222223,23.915360010763884,172.0,242.0,197.0,22.96637858815685,171.0,242.0,2.0,25.0,3,1,1,1,1,1,0,-9.797174393178826e-16,1.0,-1.959434878635765e-15,1.0,-2.9391523179536475e-15,1.0,-3.91886975727153e-15,1.0
1953-02-01,196,196.0,194.0,172.0,191.0,209.0,242.0,183.0,180.0,199.0,150.0,187.33333333333334,13.316656236958766,172.0,196.0,200.66666666666666,23.49184255580365,172.0,242.0,203.88888888888889,22.74557343992696,172.0,242.0,199.08333333333334,21.479200651003403,172.0,242.0,0.0,16.0,6,1,32,5,2,1,1,0.4999999999999986,0.8660254037844395,0.866025403784437,0.5000000000000028,1.0,-5.881399539090237e-15,0.8660254037844418,-0.4999999999999945
1953-03-01,236,196.0,196.0,194.0,172.0,191.0,209.0,218.0,193.0,184.0,178.0,195.33333333333334,1.1547005383789788,194.0,196.0,193.0,12.000000000000068,172.0,209.0,205.33333333333334,21.639085008382395,172.0,242.0,200.41666666666666,20.668193980709763,172.0,242.0,40.0,43.0,6,1,60,9,3,1,1,0.8660254037844393,0.49999999999999883,0.8660254037844373,-0.5000000000000023,-4.91096680932118e-16,-1.0,-0.8660254037844414,-0.49999999999999534
1953-04-01,235,236.0,196.0,196.0,194.0,172.0,191.0,230.0,181.0,162.0,163.0,209.33333333333334,23.09401076758501,196.0,236.0,197.5,20.935615586841504,172.0,236.0,207.33333333333334,23.69071548096426,172.0,242.0,204.0,22.875155240407285,172.0,242.0,-1.0,54.0,2,1,91,14,4,2,0,1.0,2.8173066186755008e-15,5.6346132373510016e-15,-1.0,-1.0,-4.899206177226001e-15,-1.1269226474702003e-14,1.0
1953-05-01,229,235.0,236.0,196.0,196.0,194.0,172.0,242.0,183.0,146.0,172.0,222.33333333333334,22.81081614790081,196.0,236.0,204.83333333333334,25.427675211600974,172.0,236.0,207.88888888888889,24.33846977751705,172.0,242.0,208.5,23.247678280949955,172.0,242.0,-6.0,46.0,4,1,121,18,5,2,0,0.8660254037844386,-0.5000000000000001,-0.8660254037844388,-0.4999999999999998,-1.028950903538412e-14,1.0,0.8660254037844384,-0.5000000000000004
1953-06-01,243,229.0,235.0,236.0,196.0,196.0,194.0,209.0,218.0,166.0,178.0,233.33333333333334,3.785938897200021,229.0,236.0,214.33333333333334,20.963460274169076,194.0,236.0,206.44444444444446,22.366890212494393,172.0,236.0,212.33333333333334,22.439143288351254,172.0,242.0,14.0,25.0,0,1,152,23,6,2,0,0.5000000000000004,-0.8660254037844384,-0.8660254037844392,0.49999999999999917,1.0,1.4689571783402355e-15,-0.8660254037844377,-0.5000000000000017
1953-07-01,264,243.0,229.0,235.0,236.0,196.0,196.0,191.0,230.0,171.0,199.0,235.66666666666666,7.0237691685684105,229.0,243.0,222.5,21.002380817421553,196.0,243.0,210.22222222222223,25.503812351184756,172.0,243.0,214.41666666666666,24.111326396655755,172.0,243.0,21.0,34.0,2,1,182,27,7,3,0,1.102182119232618e-15,-1.0,-2.204364238465236e-15,1.0,6.859260036498355e-15,-1.0,-4.408728476930472e-15,1.0
1953-08-01,272,264.0,243.0,229.0,235.0,236.0,196.0,172.0,242.0,180.0,199.0,245.33333333333334,17.616280348965045,229.0,264.0,233.83333333333334,22.15776763725672,196.0,264.0,218.33333333333334,29.862183443278216,172.0,264.0,217.25,27.821263940963146,172.0,264.0,8.0,30.0,5,1,213,31,8,3,1,-0.5000000000000016,-0.8660254037844377,0.8660254037844405,0.49999999999999684,-1.0,-1.2249562894656474e-14,0.8660254037844349,-0.5000000000000063
1953-09-01,237,272.0,264.0,243.0,229.0,235.0,236.0,194.0,209.0,193.0,184.0,259.6666666666667,14.977761292440595,243.0,272.0,246.5,17.4212513901841,229.0,272.0,229.44444444444446,29.060760103235037,194.0,272.0,219.75,31.36913654012072,172.0,272.0,-35.0,28.0,1,1,244,36,9,3,0,-0.8660254037844375,-0.500000000000002,0.8660254037844409,-0.49999999999999595,-3.429011037612589e-15,1.0,-0.866025403784434,-0.5000000000000081
1953-10-01,211,237.0,272.0,264.0,243.0,229.0,235.0,196.0,191.0,181.0,162.0,257.6666666666667,18.33939293797185,237.0,272.0,246.66666666666666,17.305105219751137,229.0,272.0,234.22222222222223,25.863960339523487,196.0,272.0,222.08333333333334,31.537735934572066,172.0,272.0,-26.0,20.0,3,1,274,40,10,4,0,-1.0,-2.939771298590236e-15,5.879542597180472e-15,-1.0,1.0,8.819313895770708e-15,-1.1759085194360944e-14,1.0
1953-11-01,180,211.0,237.0,272.0,264.0,243.0,229.0,196.0,172.0,183.0,146.0,240.0,30.61045573002793,211.0,272.0,242.66666666666666,22.527020812052776,211.0,272.0,235.88888888888889,23.465104114644593,196.0,272.0,223.75,30.247839892822576,172.0,272.0,-31.0,8.0,6,1,305,44,11,4,1,-0.8660254037844386,0.5,-0.8660254037844386,-0.5,1.4209616753928827e-14,-1.0,0.8660254037844386,-0.5
1953-12-01,201,180.0,211.0,237.0,272.0,264.0,243.0,236.0,194.0,218.0,166.0,209.33333333333334,28.53652630109937,180.0,237.0,234.5,34.28556547586746,180.0,272.0,234.11111111111111,27.177400742365165,180.0,272.0,224.41666666666666,29.06875340021369,180.0,272.0,21.0,7.0,1,1,335,49,12,4,0,-0.5000000000000006,0.8660254037844384,-0.8660254037844393,0.49999999999999895,-1.0,8.821789818317062e-15,-0.8660254037844374,-0.5000000000000021
1954-01-01,204,201.0,180.0,211.0,237.0,272.0,264.0,235.0,196.0,230.0,171.0,197.33333333333334,15.821925715074558,180.0,211.0,227.5,36.423893257036596,180.0,272.0,230.22222222222223,29.294955955666566,180.0,272.0,225.0,28.466886664397414,180.0,272.0,3.0,8.0,4,1,1,53,1,1,0,-4.777360477947854e-15,1.0,-9.554720955895708e-15,1.0,3.4314869601589423e-15,1.0,-1.9109441911791416e-14,1.0
1954-02-01,188,204.0,201.0,180.0,211.0,237.0,272.0,229.0,196.0,242.0,180.0,195.0,13.076696830622195,180.0,204.0,217.5,32.414502926930695,180.0,272.0,226.77777777777777,30.462180559579842,180.0,272.0,225.66666666666666,27.812140361992324,180.0,272.0,-16.0,-8.0,0,1,32,5,2,1,0,0.4999999999999984,0.8660254037844396,0.8660254037844368,0.5000000000000032,1.0,1.9588158979991767e-15,0.8660254037844423,-0.4999999999999936
1954-03-01,235,188.0,204.0,201.0,180.0,211.0,237.0,243.0,236.0,209.0,193.0,197.66666666666666,8.504900548115643,188.0,204.0,203.5,19.887181801351407,180.0,237.0,222.22222222222223,33.04458267922965,180.0,272.0,225.0,28.670542373663093,180.0,272.0,47.0,-1.0,0,1,60,9,3,1,0,0.8660254037844374,0.5000000000000021,0.866025403784441,-0.4999999999999957,7.349118756157295e-15,-1.0,-0.8660254037844337,-0.5000000000000084
1954-04-01,227,235.0,188.0,204.0,201.0,180.0,211.0,264.0,235.0,191.0,181.0,209.0,23.89560629069711,188.0,235.0,203.16666666666666,19.218914294690777,180.0,235.0,221.33333333333334,32.5192250830182,180.0,272.0,224.91666666666666,28.637097152702896,180.0,272.0,-8.0,-8.0,3,1,91,13,4,2,0,1.0,-4.904777002955296e-16,-9.809554005910593e-16,-1.0,-1.0,1.471433100886589e-15,1.9619108011821185e-15,1.0
1954-05-01,234,227.0,235.0,188.0,204.0,201.0,180.0,272.0,229.0,172.0,183.0,216.66666666666666,25.146238950056443,188.0,235.0,205.83333333333334,21.498061928152236,180.0,235.0,217.22222222222223,28.547231817541334,180.0,272.0,224.25,28.473672049807885,180.0,272.0,7.0,5.0,5,1,121,17,5,2,1,0.8660254037844405,-0.49999999999999684,-0.8660254037844349,-0.5000000000000063,-3.91886975727153e-15,1.0,0.866025403784446,-0.49999999999998723
1954-06-01,264,234.0,227.0,235.0,188.0,204.0,201.0,237.0,243.0,194.0,218.0,232.0,4.358898943540727,227.0,235.0,214.83333333333334,19.752636954762927,188.0,235.0,213.0,21.33072900770154,180.0,237.0,224.66666666666666,28.585862155120072,180.0,272.0,30.0,21.0,1,1,152,22,6,2,0,0.5000000000000007,-0.8660254037844383,-0.8660254037844394,0.4999999999999987,1.0,9.309172615429648e-15,-0.8660254037844372,-0.5000000000000026
1954-07-01,302,264.0,234.0,227.0,235.0,188.0,204.0,211.0,264.0,196.0,230.0,241.66666666666666,19.655363983740738,227.0,264.0,225.33333333333334,26.51540432779902,188.0,264.0,216.0,26.41968962724581,180.0,264.0,226.41666666666666,30.39574830714859,180.0,272.0,38.0,38.0,3,1,182,26,7,3,0,-2.2056021997384123e-15,-1.0,4.411204399476825e-15,1.0,4.886207583857646e-16,-1.0,8.82240879895365e-15,1.0
1954-08-01,293,302.0,264.0,234.0,227.0,235.0,188.0,180.0,272.0,196.0,242.0,266.6666666666667,34.07834111768544,234.0,302.0,241.66666666666666,38.30752754572733,188.0,302.0,226.11111111111111,38.78609430080723,180.0,302.0,229.58333333333334,36.10957650196866,180.0,302.0,-9.0,21.0,6,1,213,30,8,3,1,-0.4999999999999983,-0.8660254037844396,0.8660254037844367,0.5000000000000034,-1.0,-5.8789236165438834e-15,0.8660254037844426,-0.4999999999999932
1954-09-01,259,293.0,302.0,264.0,234.0,227.0,235.0,201.0,237.0,236.0,209.0,286.3333333333333,19.857828011475213,264.0,302.0,259.1666666666667,32.4186160510694,227.0,302.0,238.66666666666666,40.25543441574069,188.0,302.0,231.33333333333334,38.763462959416735,180.0,302.0,-34.0,22.0,2,1,244,35,9,3,0,-0.8660254037844392,-0.49999999999999917,0.8660254037844377,-0.5000000000000017,-1.1269226474702003e-14,1.0,-0.8660254037844406,-0.4999999999999966
1954-10-01,229,259.0,293.0,302.0,264.0,234.0,227.0,204.0,211.0,235.0,191.0,284.6666666666667,22.678918257565336,259.0,302.0,263.1666666666667,30.248415936485895,227.0,302.0,245.11111111111111,38.05405512046135,188.0,302.0,233.16666666666666,39.56774015035573,180.0,302.0,-30.0,18.0,4,1,274,39,10,4,0,-1.0,-3.1847006584197066e-15,6.369401316839413e-15,-1.0,1.0,1.6659529332860122e-14,-1.2738802633678827e-14,1.0
1954-11-01,203,229.0,259.0,293.0,302.0,264.0,234.0,188.0,180.0,229.0,172.0,260.3333333333333,32.020826556060825,229.0,293.0,263.5,29.77750829065432,229.0,302.0,247.88888888888889,35.505085707699834,188.0,302.0,234.66666666666666,38.98795462781574,180.0,302.0,-26.0,23.0,0,1,305,44,11,4,0,-0.8660254037844388,0.4999999999999998,-0.8660254037844384,-0.5000000000000004,-6.371877239385766e-15,-1.0,0.8660254037844392,-0.49999999999999917
1954-12-01,229,203.0,229.0,259.0,293.0,302.0,264.0,235.0,201.0,243.0,194.0,230.33333333333334,28.023799409311515,203.0,259.0,258.3333333333333,37.58545818087967,203.0,302.0,249.55555555555554,32.57342133976376,203.0,302.0,236.58333333333334,36.54501168132106,188.0,302.0,26.0,28.0,2,1,335,48,12,4,0,-0.49999999999999767,0.86602540378444,-0.8660254037844359,0.5000000000000047,-1.0,9.815743812276475e-16,-0.866025403784444,-0.4999999999999907
1955-01-01,242,229.0,203.0,229.0,259.0,293.0,302.0,227.0,204.0,264.0,196.0,220.33333333333334,15.011106998930085,203.0,229.0,252.5,39.21096785339517,203.0,302.0,248.88888888888889,32.96757666421829,203.0,302.0,238.91666666666666,34.92448563643724,188.0,302.0,13.0,38.0,5,1,1,52,1,1,1,-1.4695761589768238e-15,1.0,-2.9391523179536475e-15,1.0,-4.408728476930472e-15,1.0,-5.878304635907295e-15,1.0
1955-02-01,233,242.0,229.0,203.0,229.0,259.0,293.0,234.0,188.0,272.0,196.0,224.66666666666666,19.85782801147517,203.0,242.0,242.5,30.813957876261068,203.0,293.0,250.55555555555554,32.0901507908233,203.0,302.0,242.08333333333334,33.14831226564364,188.0,302.0,-9.0,45.0,1,1,32,5,2,1,0,0.4999999999999951,0.8660254037844415,0.866025403784433,0.5000000000000098,1.0,-4.411823380113413e-15,0.8660254037844499,-0.49999999999998046
1955-03-01,267,233.0,242.0,229.0,203.0,229.0,259.0,264.0,235.0,237.0,236.0,234.66666666666666,6.6583281184789955,229.0,242.0,232.5,18.371173070873656,203.0,259.0,250.44444444444446,32.15630230262456,203.0,302.0,245.83333333333334,28.723868229411952,203.0,302.0,34.0,32.0,1,1,60,9,3,1,0,0.8660254037844373,0.5000000000000023,0.8660254037844414,-0.49999999999999534,9.784794780447059e-16,-1.0,-0.8660254037844333,-0.5000000000000093
1955-04-01,269,267.0,233.0,242.0,229.0,203.0,229.0,302.0,227.0,211.0,235.0,247.33333333333334,17.616280348964928,233.0,267.0,233.83333333333334,20.807851082383777,203.0,267.0,250.77777777777777,32.32946712280368,203.0,302.0,248.5,29.10951109798398,203.0,302.0,2.0,42.0,4,1,91,13,4,2,0,1.0,-2.45548340466059e-16,-4.91096680932118e-16,-1.0,-1.0,-6.368782336202825e-15,9.82193361864236e-16,1.0
1955-05-01,270,269.0,267.0,233.0,242.0,229.0,203.0,293.0,234.0,180.0,229.0,256.3333333333333,20.231987873991226,233.0,269.0,240.5,24.945941553687472,203.0,269.0,247.11111111111111,27.26923378298537,203.0,293.0,252.0,28.812875909596997,203.0,302.0,1.0,36.0,6,1,121,17,5,2,1,0.8660254037844406,-0.4999999999999966,-0.8660254037844347,-0.5000000000000068,-1.1759085194360944e-14,1.0,0.8660254037844465,-0.4999999999999864
1955-06-01,315,270.0,269.0,267.0,233.0,242.0,229.0,259.0,264.0,201.0,243.0,268.6666666666667,1.5275252316503032,267.0,270.0,251.66666666666666,19.11718249812599,229.0,270.0,244.55555555555554,23.206201278489708,203.0,270.0,255.0,28.64199078911335,203.0,302.0,45.0,51.0,2,1,152,22,6,2,0,0.5000000000000009,-0.8660254037844382,-0.8660254037844396,0.4999999999999983,1.0,2.9385333373170594e-15,-0.8660254037844367,-0.5000000000000034
1955-07-01,364,315.0,270.0,269.0,267.0,233.0,242.0,229.0,302.0,204.0,264.0,284.6666666666667,26.274195198584636,269.0,315.0,266.0,28.607691273501676,233.0,315.0,250.77777777777777,33.00294599644771,203.0,315.0,259.25,33.47488882458313,203.0,315.0,49.0,62.0,4,1,182,26,7,3,0,5.14475451769206e-15,-1.0,-1.028950903538412e-14,1.0,8.328836195475178e-15,-1.0,-2.057901807076824e-14,1.0
1955-08-01,347,364.0,315.0,270.0,269.0,267.0,233.0,203.0,293.0,188.0,272.0,316.3333333333333,47.014182257413864,270.0,364.0,286.3333333333333,46.12880517276212,233.0,364.0,265.77777777777777,48.77698683236228,203.0,364.0,264.4166666666667,43.849864379044845,203.0,364.0,-17.0,54.0,0,1,213,31,8,3,0,-0.4999999999999981,-0.8660254037844397,0.8660254037844365,0.5000000000000038,-1.0,-1.3719139053633297e-14,0.866025403784443,-0.49999999999999234
1955-09-01,312,347.0,364.0,315.0,270.0,269.0,267.0,229.0,259.0,235.0,237.0,342.0,24.879710609249376,315.0,364.0,305.3333333333333,43.14935302720819,267.0,364.0,281.77777777777777,49.22595295618404,229.0,364.0,268.9166666666667,49.46157063516069,203.0,364.0,-35.0,53.0,3,1,244,35,9,3,0,-0.866025403784439,-0.49999999999999933,0.8660254037844379,-0.5000000000000012,-1.9109441911791416e-14,1.0,-0.8660254037844402,-0.49999999999999745
